64,,Secondary Color - Invalid,create site with empty secondary_color in request body,,,"Site should not be created (secondary_color is required)
response code: 417",,,
65,,,create site with null secondary_color in request body,,,"Site should not be created (secondary_color is required)
response code: 417",,,
66,,,create site with secondary_color without hash symbol in request body,,,"Site should not be created (invalid color format)
response code: 417",,,
67,,,create site with secondary_color as invalid hex chars in request body,,,"Site should not be created (invalid color format)
response code: 417",,,
68,,,create site with secondary_color as integer type in request body,,,"Site should not be created
response code: 417",,,
69,,Secondary Color - Security,create site with secondary_color as JS script in request body,,,"Site should not be created (invalid color)
response code: 417",,,
70,,,create site with secondary_color as SQL injection in request body,,,"Site should not be created (invalid color)
response code: 417",,,
71,,Layout Field - Valid,create site with valid layout theme element name in request body,,,"Site should be created with selected layout
response code: 200",,,
72,,,create site without layout field in request body,,,"Site should be created with default layout
response code: 200",,,
73,,,create site with layout as empty string in request body,,,"Site should be created with default layout
response code: 200",,,
74,,Layout Field - Invalid,create site with layout as non-existent theme element name in request body,,,"Site should not be created (invalid theme element)
response code: 404",,,
75,,,create site with layout as integer type in request body,,,"Site should not be created (layout must be string)
response code: 417",,,
76,,,create site with layout as invalid theme element name in request body,,,"Site should not be created (theme element not found)
response code: 404",,,
77,,,create site with layout as decimal in request body,,,"Site should not be created (layout must be string)
response code: 417",,,
78,,,create site with layout as boolean in request body,,,"Site should not be created (layout must be string)
response code: 417",,,
79,,Layout - Security,create site with layout as JS script injection in request body,,,"Site should not be created (invalid theme element)
response code: 404",,,
80,,,create site with layout as SQL injection in request body,,,"Site should not be created (invalid theme element)
response code: 404",,,
81,,Layout - Security,create site with layout as directory traversal path in request body,,,"Site should not be created (invalid theme element)
response code: 404",,,
82,,,create site with layout as HTML tags in request body,,,"Site should not be created (invalid theme element)
response code: 404",,,
83,,,create site with layout as special characters in request body,,,"Site should not be created (invalid theme element)
response code: 404",,,
84,,Layout - String Validation,create site with layout exceeding max char limit in request body,,,"Site should not be created (exceeds limit)
response code: 417",,,
85,,,create site with layout as null in request body,,,"Site should be created with default layout
response code: 200",,,
86,,,create site with layout containing whitespace in request body,,,"Site should not be created (invalid theme element)
response code: 404",,,
87,,Missing Required Fields,create site without title field in request body,,,"Site should not be created (title is required)
response code: 417",,,
88,,,create site without domain field in request body,,,"Site should not be created (domain is required)
response code: 417",,,
89,,,create site without logo_url field in request body,,,"Site should not be created (logo_url is required)
response code: 417",,,
90,,,create site without primary_color field in request body,,,"Site should not be created (primary_color is required)
response code: 417",,,
91,,,create site without secondary_color field in request body,,,"Site should not be created (secondary_color is required)
response code: 417",,,
92,,,create site with only title field in request body,,,"Site should not be created (missing required fields)
response code: 417",,,
93,,Edge Cases,create site with empty JSON payload,,,"Site should not be created (missing required fields)
response code: 417",,,
94,,,create site with malformed JSON payload,,,"API returns bad request error (invalid JSON)
response code: 400",,,
95,,,create site with extra/unexpected fields in payload,,,"Site should be created (extra fields ignored)
response code: 200",,,
96,,,GET request to POST /api/sites endpoint (method not allowed),,,"API returns method not allowed error
response code: 405",,,
97,,,PUT request to POST /api/sites endpoint (method not allowed),,,"API returns method not allowed error
response code: 405",,,
98,,,DELETE request to POST /api/sites endpoint (method not allowed),,,"API returns method not allowed error
response code: 405",,,
99,,,create site with all fields as null in request body,,,"Site should not be created (missing required fields)
response code: 417",,,
100,,,create site with whitespace only in required string fields,,,"Site should not be created (invalid input)
response code: 417",,,
101,,,create multiple sites concurrently with same domain,,,"Only one site created, others return conflict
response code: 409",,,
102,,Response Validation,Verify POST success response contains site id and all submitted fields,,,"Response includes site id, title, domain, colors, logo_url
response code: 200",,,
103,,,Verify POST error response contains validation error for missing title,,,"Response includes validation error for title field
response code: 417",,,
104,,,Verify POST error response contains conflict error for duplicate domain,,,"Response includes conflict error for domain
response code: 409",,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
